geo,date_quarter,ddos
BE,2021,280
BE,2021.25,338
BE,2021.5,184
BE,2021.75,55
BF,2016.75,0
BF,2017,0
BF,2017.25,0
BF,2017.5,0
BF,2017.75,0
BF,2018,0
BF,2018.25,0
BF,2018.5,0
BF,2018.75,100
BF,2019,31
BF,2019.25,145
BF,2019.5,173
BF,2019.75,198
BF,2020,220
BF,2020.25,221
BF,2020.5,79
BF,2020.75,104
BF,2021,22
BF,2021.25,73
BF,2021.5,293
BF,2021.75,74
BG,2016.75,69
BG,2017,314
BG,2017.25,184
BG,2017.5,242
BG,2017.75,241
BG,2018,144
BG,2018.25,111
BG,2018.5,157
BG,2018.75,219
BG,2019,126
BG,2019.25,203
BG,2019.5,335
BG,2019.75,165
BG,2020,249
BG,2020.25,231
BG,2020.5,230
BG,2020.75,252
BG,2021,68
BG,2021.25,137
BG,2021.5,128
BG,2021.75,167
BH,2016.75,100
BH,2017,0
BH,2017.25,0
BH,2017.5,0
BH,2017.75,99
BH,2018,0
BH,2018.25,89
BH,2018.5,181
BH,2018.75,0
BH,2019,0
BH,2019.25,176
BH,2019.5,177
BH,2019.75,163
BH,2020,154
BH,2020.25,207
BH,2020.5,0
BH,2020.75,152
BH,2021,142
BH,2021.25,140
BH,2021.5,72
BH,2021.75,0
BI,2016.75,0
BI,2017,0
BI,2017.25,0
BI,2017.5,0
BI,2017.75,0
BI,2018,0
BI,2018.25,0
BI,2018.5,0
BI,2018.75,0
BI,2019,157
BI,2019.25,0
BI,2019.5,249
BI,2019.75,457
BI,2020,0
BI,2020.25,168
BI,2020.5,0
BI,2020.75,0
BI,2021,0
BI,2021.25,0
BI,2021.5,199
BI,2021.75,0
BJ,2016.75,68
BJ,2017,50
BJ,2017.25,0
BJ,2017.5,71
BJ,2017.75,0
BJ,2018,0
BJ,2018.25,0
BJ,2018.5,51
BJ,2018.75,111
BJ,2019,151
BJ,2019.25,162
BJ,2019.5,303
BJ,2019.75,531
BJ,2020,453
BJ,2020.25,112
BJ,2020.5,72
BJ,2020.75,34
BJ,2021,0
BJ,2021.25,157
BJ,2021.5,282
BJ,2021.75,0
BN,2016.75,99
BN,2017,0
BN,2017.25,0
BN,2017.5,199
BN,2017.75,0
BN,2018,0
BN,2018.25,0
BN,2018.5,96
BN,2018.75,0
BN,2019,94
BN,2019.25,184
BN,2019.5,0
BN,2019.75,96
BN,2020,0
BN,2020.25,0
BN,2020.5,81
BN,2020.75,86
BN,2021,0
BN,2021.25,0
BN,2021.5,252
BN,2021.75,0
BO,2016.75,54
BO,2017,62
BO,2017.25,108
BO,2017.5,108
BO,2017.75,120
BO,2018,0
BO,2018.25,48
BO,2018.5,103
BO,2018.75,0
BO,2019,92
BO,2019.25,92
BO,2019.5,87
BO,2019.75,43
BO,2020,352
BO,2020.25,272
BO,2020.5,120
BO,2020.75,175
BO,2021,226
BO,2021.25,70
BO,2021.5,146
BO,2021.75,0
BR,2016.75,490
BR,2017,616
BR,2017.25,591
BR,2017.5,541
BR,2017.75,538
BR,2018,452
BR,2018.25,339
BR,2018.5,429
BR,2018.75,288
BR,2019,414
BR,2019.25,350
BR,2019.5,374
BR,2019.75,362
BR,2020,421
BR,2020.25,472
BR,2020.5,465
BR,2020.75,350
BR,2021,277
BR,2021.25,419
BR,2021.5,356
BR,2021.75,110
BS,2016.75,0
BS,2017,0
BS,2017.25,0
BS,2017.5,0
BS,2017.75,0
BS,2018,0
BS,2018.25,0
BS,2018.5,0
BS,2018.75,0
BS,2019,199
BS,2019.25,97
BS,2019.5,93
BS,2019.75,0
BS,2020,0
BS,2020.25,0
BS,2020.5,0
BS,2020.75,74
BS,2021,0
BS,2021.25,0
BS,2021.5,0
BS,2021.75,78
BY,2016.75,194
BY,2017,221
BY,2017.25,279
BY,2017.5,118
BY,2017.75,144
BY,2018,129
BY,2018.25,205
BY,2018.5,109
BY,2018.75,160
BY,2019,183
BY,2019.25,295
BY,2019.5,165
BY,2019.75,237
BY,2020,225
BY,2020.25,280
BY,2020.5,364
BY,2020.75,95
BY,2021,31
BY,2021.25,98
BY,2021.5,38
BY,2021.75,41
CA,2016.75,170
CA,2017,224
CA,2017.25,189
CA,2017.5,167
CA,2017.75,203
CA,2018,148
CA,2018.25,126
CA,2018.5,152
CA,2018.75,126
CA,2019,171
CA,2019.25,158
CA,2019.5,261
CA,2019.75,161
CA,2020,176
CA,2020.25,314
CA,2020.5,184
CA,2020.75,208
CA,2021,185
CA,2021.25,178
CA,2021.5,163
CA,2021.75,38
CD,2016.75,0
CD,2017,0
CD,2017.25,0
CD,2017.5,0
CD,2017.75,0
CD,2018,0
CD,2018.25,0
CD,2018.5,0
CD,2018.75,0
CD,2019,47
CD,2019.25,65
CD,2019.5,21
CD,2019.75,418
CD,2020,501
CD,2020.25,295
CD,2020.5,62
CD,2020.75,0
CD,2021,91
CD,2021.25,177
CD,2021.5,413
CD,2021.75,77
CG,2016.75,0
CG,2017,0
CG,2017.25,0
CG,2017.5,0
CG,2017.75,0
CG,2018,0
CG,2018.25,0
CG,2018.5,0
CG,2018.75,69
CG,2019,115
CG,2019.25,98
CG,2019.5,273
CG,2019.75,117
CG,2020,135
CG,2020.25,0
CG,2020.5,76
CG,2020.75,0
CG,2021,0
CG,2021.25,236
CG,2021.5,266
CG,2021.75,38
CH,2016.75,245
CH,2017,439
CH,2017.25,368
CH,2017.5,297
CH,2017.75,301
CH,2018,240
CH,2018.25,212
CH,2018.5,310
CH,2018.75,210
CH,2019,286
CH,2019.25,328
CH,2019.5,174
CH,2019.75,298
CH,2020,250
CH,2020.25,465
CH,2020.5,587
CH,2020.75,218
CH,2021,335
CH,2021.25,347
CH,2021.5,244
CH,2021.75,52
CI,2016.75,0
CI,2017,17
CI,2017.25,0
CI,2017.5,21
CI,2017.75,19
CI,2018,17
CI,2018.25,0
CI,2018.5,18
CI,2018.75,0
CI,2019,54
CI,2019.25,54
CI,2019.5,175
CI,2019.75,371
CI,2020,353
CI,2020.25,276
CI,2020.5,42
CI,2020.75,58
CI,2021,27
CI,2021.25,218
CI,2021.5,705
CI,2021.75,223
CL,2016.75,60
CL,2017,62
CL,2017.25,40
CL,2017.5,58
CL,2017.75,41
CL,2018,90
CL,2018.25,25
CL,2018.5,68
CL,2018.75,44
CL,2019,58
CL,2019.25,53
CL,2019.5,65
CL,2019.75,86
CL,2020,310
CL,2020.25,181
CL,2020.5,149
CL,2020.75,113
CL,2021,101
CL,2021.25,84
CL,2021.5,68
CL,2021.75,15
CM,2016.75,51
CM,2017,51
CM,2017.25,0
CM,2017.5,0
CM,2017.75,0
CM,2018,46
CM,2018.25,0
CM,2018.5,0
CM,2018.75,53
CM,2019,141
CM,2019.25,49
CM,2019.5,0
CM,2019.75,130
CM,2020,381
CM,2020.25,346
CM,2020.5,239
CM,2020.75,104
CM,2021,34
CM,2021.25,63
CM,2021.5,135
CM,2021.75,58
CN,2016.75,211
CN,2017,295
CN,2017.25,382
CN,2017.5,176
CN,2017.75,182
CN,2018,301
CN,2018.25,285
CN,2018.5,340
CN,2018.75,262
