date,hits,keyword,geo,time,gprop,category
2016-11-06T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-11-13T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-11-20T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-11-27T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-12-04T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-12-11T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-12-18T00:00:00Z,0,ddos,AD,today+5-y,web,0
2016-12-25T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-01-01T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-01-08T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-01-15T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-01-22T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-01-29T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-02-05T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-02-12T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-02-19T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-02-26T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-03-05T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-03-12T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-03-19T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-03-26T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-04-02T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-04-09T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-04-16T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-04-23T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-04-30T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-05-07T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-05-14T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-05-21T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-05-28T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-06-04T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-06-11T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-06-18T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-06-25T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-07-02T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-07-09T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-07-16T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-07-23T00:00:00Z,100,ddos,AD,today+5-y,web,0
2017-07-30T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-08-06T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-08-13T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-08-20T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-08-27T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-09-03T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-09-10T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-09-17T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-09-24T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-10-01T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-10-08T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-10-15T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-10-22T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-10-29T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-11-05T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-11-12T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-11-19T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-11-26T00:00:00Z,0,ddos,AD,today+5-y,web,0
2017-12-03T00:00:00Z,0,ddos,AD,today+5-y,web,0
