date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Vologda Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Voronezh Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Yamalo-Nenets Autonomous Okrug,,дворец путина,RU,web
2019-01-01 2019-02-01,Yaroslavl Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Jewish Autonomous Oblast,,дворец путина,RU,web
2019-01-01 2019-02-01,Zabaykalsky Krai,,дворец путина,RU,web
2019-02-01 2019-03-01,Republic of Bashkortostan,100,дворец путина,RU,web
2019-02-01 2019-03-01,Novosibirsk Oblast,84,дворец путина,RU,web
2019-02-01 2019-03-01,Tatarstan,69,дворец путина,RU,web
2019-02-01 2019-03-01,Krasnodar Krai,41,дворец путина,RU,web
2019-02-01 2019-03-01,Adygea,,дворец путина,RU,web
2019-02-01 2019-03-01,Altai Republic,,дворец путина,RU,web
2019-02-01 2019-03-01,Altai Krai,,дворец путина,RU,web
2019-02-01 2019-03-01,Amur Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Arkhangelsk Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Astrakhan Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Belgorod Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Bryansk Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Buryatia,,дворец путина,RU,web
2019-02-01 2019-03-01,Chechnya,,дворец путина,RU,web
2019-02-01 2019-03-01,Chelyabinsk Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Chukotka Autonomous Okrug,,дворец путина,RU,web
2019-02-01 2019-03-01,Chuvashia Republic,,дворец путина,RU,web
2019-02-01 2019-03-01,Dagestan Republic,,дворец путина,RU,web
2019-02-01 2019-03-01,Ingushetia,,дворец путина,RU,web
2019-02-01 2019-03-01,Irkutsk Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Ivanovo Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Kamchatka Krai,,дворец путина,RU,web
2019-02-01 2019-03-01,Kabardino-Balkaria,,дворец путина,RU,web
2019-02-01 2019-03-01,Karachay-Cherkessia,,дворец путина,RU,web
2019-02-01 2019-03-01,Kemerovo Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Kaliningrad Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Kurgan Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Khabarovsk Krai,,дворец путина,RU,web
2019-02-01 2019-03-01,Khanty-Mansi Autonomous Okrug,,дворец путина,RU,web
2019-02-01 2019-03-01,Kirov Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Republic of Khakassia,,дворец путина,RU,web
2019-02-01 2019-03-01,Kalmykia,,дворец путина,RU,web
2019-02-01 2019-03-01,Kaluga Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Komi Republic,,дворец путина,RU,web
2019-02-01 2019-03-01,Kostroma Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Republic of Karelia,,дворец путина,RU,web
2019-02-01 2019-03-01,Kursk Oblast,,дворец путина,RU,web
2019-02-01 2019-03-01,Krasnoyarsk Krai,,дворец путина,RU,web
2019-02-01 2019-03-01,Leningrad Oblast,,дворец путина,RU,web
