date,location,hits,keyword,geo,gprop
2019-01-01 2019-02-01,Tuva,,навальный,RU,web
2019-01-01 2019-02-01,Jewish Autonomous Oblast,,навальный,RU,web
2019-01-01 2019-02-01,Zabaykalsky Krai,,навальный,RU,web
2019-02-01 2019-03-01,Nenets Autonomous Okrug,100,навальный,RU,web
2019-02-01 2019-03-01,Tambov Oblast,25,навальный,RU,web
2019-02-01 2019-03-01,Tver Oblast,24,навальный,RU,web
2019-02-01 2019-03-01,Ingushetia,24,навальный,RU,web
2019-02-01 2019-03-01,Kalmykia,24,навальный,RU,web
2019-02-01 2019-03-01,Tomsk Oblast,23,навальный,RU,web
2019-02-01 2019-03-01,Karachay-Cherkessia,22,навальный,RU,web
2019-02-01 2019-03-01,Adygea,21,навальный,RU,web
2019-02-01 2019-03-01,Zabaykalsky Krai,18,навальный,RU,web
2019-02-01 2019-03-01,Orenburg Oblast,17,навальный,RU,web
2019-02-01 2019-03-01,Oryol Oblast,17,навальный,RU,web
2019-02-01 2019-03-01,Mordovia,16,навальный,RU,web
2019-02-01 2019-03-01,Perm Krai,16,навальный,RU,web
2019-02-01 2019-03-01,Saint Petersburg,15,навальный,RU,web
2019-02-01 2019-03-01,Astrakhan Oblast,15,навальный,RU,web
2019-02-01 2019-03-01,Samara Oblast,15,навальный,RU,web
2019-02-01 2019-03-01,Yaroslavl Oblast,15,навальный,RU,web
2019-02-01 2019-03-01,Moscow,15,навальный,RU,web
2019-02-01 2019-03-01,Tyumen Oblast,14,навальный,RU,web
2019-02-01 2019-03-01,Volgograd Oblast,14,навальный,RU,web
2019-02-01 2019-03-01,Republic of Karelia,14,навальный,RU,web
2019-02-01 2019-03-01,Stavropol Krai,14,навальный,RU,web
2019-02-01 2019-03-01,Chuvashia Republic,13,навальный,RU,web
2019-02-01 2019-03-01,Nizhny Novgorod Oblast,13,навальный,RU,web
2019-02-01 2019-03-01,Vladimir Oblast,12,навальный,RU,web
2019-02-01 2019-03-01,Moscow Oblast,12,навальный,RU,web
2019-02-01 2019-03-01,Udmurt Republic,12,навальный,RU,web
