date;reg_name;excess_mort_p;excess_mort_p_instr
2021-01-01;Республика Адыгея;0.3751814224;0.452733177
2021-01-01;Республика Алтай;0.3088235294;0.1852334785
2021-01-01;Республика Башкортостан;0.1983737739;0.157618793191667
2021-01-01;Республика Бурятия;0.1212542171;0.2316172796
2021-01-01;Республика Дагестан;0.3748290014;0.337566825466667
2021-01-01;Республика Ингушетия;0.7612524462;0.391533207233333
2021-01-01;Кабардино-Балкарская Республика;0.3467132054;0.449366909566667
2021-01-01;Республика Калмыкия;0.2011400651;0.30050774374
2021-01-01;Карачаево-Черкесская Республика;0.5103626943;0.403384132366667
2021-01-01;Республика Карелия;0.4168401573;0.327818728825
2021-01-01;Республика Коми;0.1712285169;0.229884709
2021-01-01;Республика Марий Эл;0.2269129288;0.31880260755
2021-01-01;Республика Мордовия;0.5261125787;0.30973717188
2021-01-01;Республика Саха (Якутия);0.1677160847;0.275484918728571
2021-01-01;Республика Северная Осетия- Алания;0.4270320197;0.479881515725
2021-01-01;Республика Татарстан(Татарстан);0.1995853285;0.24065978256875
2021-01-01;Республика Тыва;0.1387755102;0.21421676596
2021-01-01;Удмуртская Республика;0.09856860235;0.22079796455
2021-01-01;Республика Хакасия;0.191011236;0.193777559975
2021-01-01;Чеченская Республика;0.4008543966;0.4934548705
2021-01-01;Чувашская Республика(Чувашия);0.3599478336;0.29459084802
2021-01-01;Алтайский край;0.2563326535;0.210151129633333
2021-01-01;Забайкальский край;0.2323943662;0.2207252418
2021-01-01;Камчатский край;0.519253911;0.291508916866667
2021-01-01;Краснодарский край;0.452733177;0.397076267375
2021-01-01;Красноярский край;0.2191546543;0.186947124083333
2021-01-01;Пермский край;0.1072077529;0.20757352877
2021-01-01;Приморский край;0.2959566486;0.402514173
2021-01-01;Ставропольский край;0.4107060147;0.3757149372
2021-01-01;Хабаровский край;0.402514173;0.2436549778
2021-01-01;Амурская область;0.3630904724;0.22843393375
2021-01-01;Архангельская область;0.3449323391;0.236127395875
2021-01-01;Астраханская область;0.174297044;0.2258958928
