line;company;region;good;win;comment
1;Общество с ограниченной ответственностью Научно-производственное объединение Экспериментальный завод ;Свердловская обл., г. Реж ;1;1;
1;Учреждение Институт новых технологий ;г.Москва ;0;;1
1;Открытое акционерное общество Торговое предприятие Томский инструмент ; г.Томск ;1;;
1;Открытое акционерное общество Научно-исследовательский технологический институт Прогресс ;г. Ижевск ;0;;1
1;Открытое акционерное общество Металлист ;Свердловская обл., г. Качканар ;1;;
1;Общество с ограниченной ответственностью Центр Инновационных Технологий - Плюс ;г. Саратов ;0;;3
1;Открытое акционерное общество Центральный научно-исследоавтельский институт измерительной аппаратуры ;г. Саратов;1;;
1;Закрытое акционерное общество Завод им. Козицкого ;г. Санкт-Петербург;1;;
1;Общество с ограниченной ответственностью Научно-технический центр Микротурбинные технологии ;г. Санкт-Петербург;0;;3
1;Общество с ограниченной ответственностью Руслед ;г. Томск ;1;;
1;Закрытое акционерное общество Свет XXI века. Томский завод светотехники ;г. Томск ;1;;
1;Закрытое акционерное общество Элекард Девайсез;г. Томск ;1;;
1;Закрытое акционерное общество Научно-производственная фирма Микран ;г. Томск ;1;1;
1;Открытое акционерное общество Северное производственное объединение Арктика ;г. Северодвинск ;1;;
1;Общество с ограниченной ответственностью Барикан ;г. Краснодар ;0;;3
1;Открытое акционерное общество Енисейгеофизика ;г. Красноярск ;1;1;
1;Общество с ограниченной ответственностью Наука Техника Медицина ;г. Томск ;0;;1
1;ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АЛТАЙ-ЛАДА ;г. Барнаул;0;;1
1;Общество с ограниченной ответственностью Орский завод строительных машин ;Оренбургская обл., г. Орск ;0;;3
1;Открытое акционерное общество Электротехническая компания Биробиджанский завод силовых трансформаторов ;Еврейская обл., г. Биробиджан ;0;;2
1;Открытое акционерное общество Томская домостроительная компания ;г. Томск ;1;;
1;Общество с ограниченной ответственностью Завод Медсинтез ;Свердловская обл., г. Новоуральск ;1;;
1;Открытое Акционерное Общество Салаватнефтеоргсинтез ;Респ. Башкортостан, г. Салават ;0;;2
1;Открытое акционерное общество Завод автономных источников тока ;г. Саратов;0;;2
1;Закрытое акционерное общество Вектор-БиАльгам ;Новосибирская обл., пос. Кольцово ;0;;2
1;Открытое акционерное общество Российская самолетостроительная корпорация МиГ ;г. Москва ;1;1;
1;Открытое акционерное общество Федеральный научно-производственный центр Нижегородский научно-исследовательский институт радиотехники ;г. Нижний Новгород ;1;;
1;Закрытое акционерное общество ЭлеСи ;г. Томск ;1;;
1;Закрытое акционерное общество ЭлеСи ;г. Томск ;1;;
1;Открытое акционерное общество Российский научно-исследовательский институт Электронстандарт ;г. Санкт-Петербург;1;;
1;Закрытое акционерное общество Лазерные комплексы ;Московская обл., г. Шатура ;0;;1
1;Открытое Акционерное Общество Атоммашэкспорт ;Ростовская обл., г. Волгодонск ;1;;
1;Кемеровский филиал открытого акционерного общества Сибирьтелеком ;г.Кемерово ;0;;1
1;Открытое акционерное общество Техприбор ;г. Санкт-Петербург ;1;;
1;Общество с ограниченной ответственностью Вестерн ;г.Рязань ;0;;2
1;Открытое акционерное общество Группа Илим ;г. Санкт-Петербург;1;1;
1;Открытое акционерное общество Группа Илим ;г. Санкт-Петербург ;1;;
1;Закрытое акционерное общество Научно-производственное предприятие Салют-27 ;г. Нижний Новгород ;1;;
1;Закрытое акционерное общество Эврика ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество НИИ молекулярной электроники и завод Микрон ;г.Москва ;1;1;
1;Закрытое акционерное общество Транзас ;г. Санкт-Петербург;1;;
1;Закрытое акционерное общество Транзас ;г. Санкт-Петербург;1;;
1;Закрытое акционерное общество Транзас ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество Воронежское акционерное самолетостроительное общество ;г. Воронеж ;1;1;
1;Закрытое акционерное общество Транзас ;г. Санкт-Петербург;1;;
1;Общество с ограниченной ответственностью Научно-исследовательский институт эластомерных материалов и изделий ;г.Москва ;1;;
1;Открытое акционерное общество Авиаагрегат ;г.Самара ;1;;
1;Открытое акционерное общество Вакууммаш ;г.Казань ;1;;
1;Закрытое Акционерное Общество Нефтеконсорциум ;Республика Татарстан г. Альметьевск;1;;
1;Федеральное государственное унитарное предприятие федеральный научно-исследовательский институт измерительных систем им.Ю.Е.Седакова ;г. Нижний Новгород ;1;;
1;Открытое акционерное общество Авангард ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество Концерн Океанприбор ;г. Санкт-Петербург;1;;
1;Открытое акционерное общество Завод Измеритель ;г. Санкт-Петербург;1;;
1;Общество с ограниченной ответственностью ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА СТРОИТЕЛЬНОГО УПРАВЛЕНИЯ N 155 ;г.Москва ;0;;1
1;Открытое акционерное общество Концерн Ижмаш ;г.Ижевск;1;;
1;Открытое акционерное общество Авиадвигатель ; г.Пермь ;1;;
1;Открытое акционерное общество Информационные спутниковые системы имени академика М.Ф.Решетнева ;Красноярский край, г. Железногорск ;1;1;
1;Закрытое Акционерное Общество Энергоавтоматика ;г. Ростов-на-Дону ;0;;3
1;Открытое акционерное Общество Научно-производственное предприятие космического приборостроения КВАНТ ;г. Ростов-на-Дону ;1;1;
1;Открытое акционерное общество Научно-исследовательский и проектно-конструкторский институт информатизации автоматизации и связи на железнодорожном транспорте ;г.Москва ;1;;
1;Закрытое акционерное общество Терна Полимер ;Московская обл., г.Мытищи ;1;;
1;Открытое акционерное общество Концерн Моринформсистема-Агат ;г.Москва ;1;;
1;Закрытое акционерное общество Борисоглебские системы связи ;Воронежская обл., г. Борисоглебск ;1;;
1;Открытое акционерное общество Нововятский лыжный комбинат ;Кировская обл., г. Киров;0;;2
1;Закрытое акционерное общество СТИЛСОФТ ;Ставропольский край, г. Ставрополь ;0;;1
1;Сельскохозяйственное открытое акционерное общество БЕЛОРЕЧЕНСКОЕ ;Иркутская обл., пос. Белореченский;1;;
1;Открытое акционерное общество Уфимское моторостроительное производственное объединение ;Респ. Башкортостан г. Уфа ;1;1;
1;Открытое акционерное общество Уфимский машиностроительный завод ;Респ. Башкортостан г. Уфа;1;;
1;Общество с ограниченной ответственностью Балаковские минеральные удобрения ;Саратовская обл., г. Балаково ;1;;
1;Общество с ограниченной ответственностью Технологическая компания Сибэкс ; г.Тюмень ;1;;
1;Открытое акционерное общество Московский завод Сапфир ;г.Москва ;1;1;
1;Открытое акционерное общество Владыкинский механический завод ;г.Москва ;1;;
1;Государственное Унитарное Предприятие Калининградский янтарный комбинат ;Калининградская обл., пгт. Янтарный ;1;;
1;Холдинговая компания Новосибирский электровакуумный завод - СОЮЗ в форме открытого акционерного общества ;г. Новосибирск ;1;1;
1;Общество с ограниченной ответственностью Научно-Производственный Центр Неразрушающего контроля ЭХО+ ;г.Москва ;1;;
1;Открытое акционерное общество Научно-производственное предприятие Темп им. Ф.Короткова ;г.Москва ;1;;
1;Открытое акционерное общество Челябинский радиозавод Полет ;г. Челябинск ;1;;
1;Открытое акционерное общество Нижегородский институт технологии и организации производства ;г. Нижний Новгород ;0;;3
1;Общество с ограниченной ответственностью “КОЛТЕК ИНТЕРНЕШНЛ” ;г.Москва ;1;;
1;Открытое акционерное общество Тулачермет ;г.Тула ;1;;
1;Закрытое акционерное общество Фирма Юмирс ;г.Пенза    ;1;;
1;Закрытое акционерное общество Волгоградский завод оросительной техники и жилищно-коммунального хозяйства ;г. Волгоград ;0;;3
1;Федеральное государственное унитарное предприятие Государственный Завод Пульсар ;г. Москва ;0;;3
1;Общество с ограниченной ответственностью Алсико-Агропром ;г.Москва ;1;;
1;Общество с ограниченной ответственностью АЛСИКО-РЕСУРС ;г.Москва ;1;;
1;Общество с ограниче6нной ответственностью Татнефть-Нижнекамскнефтехим-Ойл ;г. Нижнекамск;0;;3
1;Волгоградское открытое акционерное общество Химпром ;г. Волгоград ;1;;
1;Закрытое акционерное общество НИИ Материаловедения ;г.Москва Зеленоград ;1;;
1;Открытое акционерное общество Терский завод алмазного инструмента ;Кабардино-Балкарская Республика, г. Терек ;1;;
1;Закрытое Акционерное Общество Биокад ;Московская обл., с. Петрово-Дальнее ;0;;1
1;Открытое акционерное общество Пигмент ;г.Тамбов ;0;;2
1;Общество с ограниченной ответственностью Инвестиционная финансовая компания МЕТРОПОЛЬ ;г.Москва ;1;;
1;Общество с ограниченной ответственностью Объединенная Компания Сибшахтострой ;г.Новокузнецк ;0;;3
1;Открытое акционерное общество Нижегородский масло-жировой комбинат ;г. Нижний Новгород ;1;;
1;Общество с ограниченной ответственностью Красное Эхо ;Владимирская обл., пос. Красное Эхо ;1;;
